Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
SURYAROSNI,SURYA ROSHNI LTD,335.7,INR,-0.8711058615089293,254073,0.4915788109145576,73071251671,INR,21.071726726632477,15.9313,INR,5.314198077660408,0.744601638123604,Non-energy minerals,Neutral
PGIL,PEARL GLOBAL IND LTD,1585.1,INR,3.223495702005731,102727,1.1772127673959991,72760183288,INR,28.968317787069793,54.7184,INR,36.437850642064596,0.72635401863256,Consumer non-durables,Strong buy
REDTAPE,REDTAPE LTD,131.39,INR,3.972461818469559,1571814,5.7617287231605285,72638917524,INR,42.66463177035978,3.0796,INR,-3.409340400840567,0,Retail trade,
ETHOSLTD,ETHOS LTD,2700.4,INR,-0.14790711433219939,22956,0.6053446266303113,72334076157,INR,71.07905715752207,37.9915,INR,11.829498391355408,0,Retail trade,Strong buy
SWSOLAR,STRLNG & WIL REN ENE LTD,309.8,INR,-0.3858520900321507,1360712,0.49726837363393556,72313190184,INR,88.97952149811874,3.4817,INR,,0,Industrial services,Strong buy
CSBBANK,CSB BANK LTD,412.5,INR,4.682146935668059,2166891,4.538767253210182,71597601924,INR,12.052311414196309,34.2258,INR,4.760243154395693,0,Finance,Strong buy
TMB,TAMILNAD MERCA BANK LTD,445.65,INR,0.01122082585277256,63304,0.8314038016261913,70608913125,INR,5.966750079329056,74.6889,INR,10.323501216397666,2.24265530387979,Finance,
MANINFRA,MAN INFRA LTD,188.48,INR,0.41020723456394537,1452391,0.8390464504978302,70591966793,INR,25.265415549597854,7.46,INR,-7.482048292882566,0.478468899521531,Finance,
RENUKA,SHREE RENUKA SUGARS LTD,32.89,INR,-0.9635651912074685,3061684,0.670137367606029,69963455681,INR,,-1.4089,INR,52.179078134546195,0,Process industries,
MHRIL,MAHINDRA HOLIDAYS LTD,343.35,INR,0.6006445941986556,53816,0.4485904028527883,69362527118,INR,54.29832052376886,6.3234,INR,10.277114106834562,0,Consumer services,Strong buy
HGINFRA,H.G.INFRA ENGINEERING LTD,1062.2,INR,0.7397572078907392,46033,0.31652680710382064,69211721008,INR,13.6938795242853,77.5675,INR,-6.140113114670793,0.141242937853107,Industrial services,Strong buy
JKPAPER,JK PAPER LTD,406.3,INR,10.362623930463135,7731152,36.0957417106552,68963695175,INR,17.81236299868479,22.81,INR,-64.99842715422328,2.0879390813068,Process industries,Buy
TEXRAIL,TEXMACO RAIL & ENG. LTD.,171.77,INR,-1.4458660852601881,1225116,0.2739022172241352,68608511467.00001,INR,30.49027264981539,5.6336,INR,65.59670781893004,0.291120815138282,Producer manufacturing,Strong buy
GOKEX,GOKALDAS EXPORTS LTD.,931.1,INR,0.643138950440474,128709,0.6568072520330513,68057543546,INR,43.57042583060365,21.37,INR,3.805387970815969,0,Consumer non-durables,Buy
CHEMPLASTS,CHEMPLAST SANMAR LTD,429.25,INR,0.3976143141153055,33177,0.47533357307517626,67765764108.99999,INR,,-6.9439,INR,30.701675598534976,0,Process industries,Strong buy
UNIMECH,UNIMECH AEROSPACE N MFG L,1291.8,INR,0.09298000929800446,31642,0.972639331614006,67146343945.200005,INR,,,,,0,Producer manufacturing,Strong buy
PURVA,PURAVANKARA LTD,283.05,INR,0.8911067545891999,68172,0.33404514499691784,67137078324,INR,,-7.5943,INR,-526.1672278338946,2.22536206287531,Finance,Strong buy
IXIGO,LE TRAVENUES TECHNOLOGY L,171.28,INR,0.1169043722235145,353982,0.2969523837806427,66739925445.99999,INR,112.6842105263158,1.52,INR,,0,Technology services,Strong buy
V2RETAIL,V2 RETAIL LTD,1923.9,INR,4.999181356764729,117474,1.8954848432530815,66555079809,INR,92.38637182165239,20.8245,INR,159.73807296538823,0,Retail trade,Strong buy
AHLUCONT,AHLUWALIA CONT IND LTD,988.4,INR,0.600508905852415,14662,0.16510870801478794,66280846104,INR,32.76427884774753,30.167,INR,-46.086648818863864,0.0505331244630856,Industrial services,Buy
TI,TILAKNAGAR INDUSTRIES LTD,341.05,INR,-0.3797283481816887,366872,0.4894276754386614,66158325161.99999,INR,28.902542372881356,11.8,INR,65.26610644257704,0.146477222791856,Consumer non-durables,Strong buy
ICRA,ICRA LTD,6800.5,INR,-1.2703252032520325,53433,3.2205044751830756,65902470046.99999,INR,38.551193922057486,176.4018,INR,12.419915966333011,0.585788764571496,Commercial services,Buy
BORORENEW,BOROSIL RENEWABLES LTD,497.1,INR,-0.6296851574212848,155430,0.3360602871787909,65809480329,INR,,-5.319,INR,-48.05845511482255,0,Process industries,
JUNIPER,JUNIPER HOTELS LTD,294.6,INR,1.8144116122343183,61771,0.4407907130746528,65604826743,INR,91.94756554307116,3.204,INR,,0,Consumer services,Strong buy
